Observation Unit,Parameter Name,Username,DateTime,Value,Measurement Comments
15NMSP_light_001,afl.afl,nick_morales,42143,3280.904,1:150
15NMSP_light_002,afl.afl,nick_morales,42143,3512.593,1:150
15NMSP_light_003,afl.afl,nick_morales,42143,4096.314,1:150
15NMSP_light_004,afl.afl,nick_morales,42143,3695.594,1:150
15NMSP_light_005,afl.afl,nick_morales,42143,3952.432,1:150
15NMSP_light_006,afl.afl,nick_morales,42143,3633.063,1:150
15NMSP_light_007,afl.afl,nick_morales,42143,259.216,1:150
15NMSP_light_008,afl.afl,nick_morales,42143,28.46,1:50
15NMSP_light_009,afl.afl,nick_morales,42143,2969.16,1:150
15NMSP_light_010,afl.afl,nick_morales,42143,4138.886,1:150
15NMSP_light_011,afl.afl,nick_morales,42143,3366.105,1:150
15NMSP_light_012,afl.afl,nick_morales,42143,129.795596,1:50
15NMSP_light_013,afl.afl,nick_morales,42143,120.204,1:150
15NMSP_light_014,afl.afl,nick_morales,42143,2563.054,1:150
15NMSP_light_015,afl.afl,nick_morales,42143,3521.002,1:150
15NMSP_light_016,afl.afl,nick_morales,42143,382.728985,1:50
15NMSP_med_001,afl.afl,nick_morales,42143,3430.092,1:150
15NMSP_med_002,afl.afl,nick_morales,42143,3750.47,1:150
15NMSP_med_003,afl.afl,nick_morales,42143,4226.08,1:150
15NMSP_med_004,afl.afl,nick_morales,42143,247.953,1:150
15NMSP_med_005,afl.afl,nick_morales,42143,3504.214,1:150
15NMSP_med_006,afl.afl,nick_morales,42143,1566.01,1:150
15NMSP_med_007,afl.afl,nick_morales,42143,104.475,1:150
15NMSP_med_008,afl.afl,nick_morales,42143,14.41392341,1:50
15NMSP_med_009,afl.afl,nick_morales,42143,3615.484,1:150
15NMSP_med_010,afl.afl,nick_morales,42143,3825.545,1:150
15NMSP_med_011,afl.afl,nick_morales,42143,3732.044,1:150
15NMSP_med_012,afl.afl,nick_morales,42143,20.76915627,1:50
15NMSP_med_013,afl.afl,nick_morales,42143,305.0421,1:150
15NMSP_med_014,afl.afl,nick_morales,42143,3438.214,1:150
15NMSP_med_015,afl.afl,nick_morales,42143,3704.656,1:150
15NMSP_med_016,afl.afl,nick_morales,42143,44.37817794,1:50
15NMSP_heavy_001,afl.afl,nick_morales,42143,98.71540201,1:50
15NMSP_heavy_002,afl.afl,nick_morales,42143,0,1:50
15NMSP_heavy_003,afl.afl,nick_morales,42143,86.74785363,1:50
15NMSP_heavy_004,afl.afl,nick_morales,42143,97.28098997,1:50
15NMSP_heavy_005,afl.afl,nick_morales,42143,3912.725,1:150
15NMSP_heavy_006,afl.afl,nick_morales,42143,0,1:50
15NMSP_heavy_007,afl.afl,nick_morales,42143,356.616,1:150
15NMSP_heavy_008,afl.afl,nick_morales,42143,28.39601928,1:50
15NMSP_heavy_009,afl.afl,nick_morales,42143,3421.998,1:150
15NMSP_heavy_010,afl.afl,nick_morales,42143,3778.363,1:150
15NMSP_heavy_011,afl.afl,nick_morales,42143,69.38261621,1:50
15NMSP_heavy_012,afl.afl,nick_morales,42143,136.6663128,1:50
15NMSP_heavy_013,afl.afl,nick_morales,42143,242.1351964,1:50
15NMSP_heavy_014,afl.afl,nick_morales,42143,21.03755157,1:50
15NMSP_heavy_015,afl.afl,nick_morales,42143,33.42451029,1:50
15NMSP_heavy_016,afl.afl,nick_morales,42143,37.97960977,1:50
15NMSP_heavy_001,afl.afl,nick_morales,42143,72.31070401,1:50
15NMSP_heavy_002,afl.afl,nick_morales,42143,0,1:50
15NMSP_heavy_003,afl.afl,nick_morales,42143,150.0331862,1:50
15NMSP_heavy_004,afl.afl,nick_morales,42143,157.8125814,1:50
15NMSP_heavy_005,afl.afl,nick_morales,42143,4226.08,1:150
15NMSP_heavy_006,afl.afl,nick_morales,42143,0,1:50
15NMSP_heavy_007,afl.afl,nick_morales,42143,134.815,1:150
15NMSP_heavy_008,afl.afl,nick_morales,42143,81.62570689,1:50
15NMSP_heavy_009,afl.afl,nick_morales,42143,805.986,1:150
15NMSP_heavy_010,afl.afl,nick_morales,42143,3624.258,1:150
15NMSP_heavy_011,afl.afl,nick_morales,42143,0,1:50
15NMSP_heavy_012,afl.afl,nick_morales,42143,127.4074274,1:50
15NMSP_heavy_013,afl.afl,nick_morales,42143,193.4054978,1:50
15NMSP_heavy_014,afl.afl,nick_morales,42143,0.695255075,1:50
15NMSP_heavy_015,afl.afl,nick_morales,42143,57.97776546,1:50
15NMSP_heavy_016,afl.afl,nick_morales,42143,44.37817794,1:50
AF_control_0.00,afl.afl,nick_morales,42143,0.60679292,0.60679292
AF_control_0.02,afl.afl,nick_morales,42143,0.184827716,0.184827716
AF_control_0.05,afl.afl,nick_morales,42143,2.54022472,2.54022472
AF_control_0.10,afl.afl,nick_morales,42143,5.367276547,5.367276547
AF_control_0.20,afl.afl,nick_morales,42143,9.831725424,9.831725424
AF_control_0.40,afl.afl,nick_morales,42143,19.96711842,19.96711842
